joint_index,repo_joint,anatomical_joint,axis_local,local_min_deg,local_max_deg,local_min_rad,local_max_rad,maps_to_global,global_axis,global_min_deg,global_max_deg,anatomical_dof_local,dof_status_local,axis_conditioning,source,notes
16,l_2_ta_r,l_2_ta_r,x,-59.93,59.93,-1.04598,1.04598,XG,XG,-59.93,59.93,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
16,l_2_ta_r,l_2_ta_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
16,l_2_ta_r,l_2_ta_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
17,l_2_pt_r,l_2_pt_r,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
17,l_2_pt_r,l_2_pt_r,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
17,l_2_pt_r,l_2_pt_r,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
18,l_3_co_r,l_3_co_r,x,-42.03,42.03,-0.73356,0.73356,XG,XG,-42.03,42.03,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
18,l_3_co_r,l_3_co_r,y,-80.0,20.0,-1.39626,0.34907,ZG,YG,-42.82,42.82,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
18,l_3_co_r,l_3_co_r,z,-42.82,42.82,-0.74735,0.74735,-YG,ZG,-80.0,20.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 hind -80..+20; Guschlbauer+2022 CurrBiol 32:2334-2340 HL ThF 77-164deg -> -74..+13 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
19,l_3_tr_r,l_3_tr_r,x,-28.55,42.82,-0.49829,0.74735,XG,XG,-28.55,42.82,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
19,l_3_tr_r,l_3_tr_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-28.02,42.03,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
19,l_3_tr_r,l_3_tr_r,z,-42.03,28.02,-0.73356,0.48904,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
20,l_3_fe_r,l_3_fe_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
20,l_3_fe_r,l_3_fe_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
20,l_3_fe_r,l_3_fe_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
21,l_3_ti_r,l_3_ti_r,x,-35.69,49.96,-0.62291,0.87197,XG,XG,-35.69,49.96,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
21,l_3_ti_r,l_3_ti_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-35.02,49.03,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
21,l_3_ti_r,l_3_ti_r,z,-49.03,35.02,-0.85573,0.61121,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
22,l_3_ta_r,l_3_ta_r,x,-42.82,42.82,-0.74735,0.74735,XG,XG,-42.82,42.82,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
22,l_3_ta_r,l_3_ta_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-42.03,42.03,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
22,l_3_ta_r,l_3_ta_r,z,-42.03,42.03,-0.73356,0.73356,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 44.5deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
23,l_3_pt_r,l_3_pt_r,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
23,l_3_pt_r,l_3_pt_r,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
23,l_3_pt_r,l_3_pt_r,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
24,w_1_r,w_1_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
24,w_1_r,w_1_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
24,w_1_r,w_1_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
25,w_2_r,w_2_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
25,w_2_r,w_2_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
25,w_2_r,w_2_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,n/a,N/A - the species studied are apterous/brachypterous,Locked.
